,model,category1,category2,frame,price
0,Bad Habit 1,Mountain,Trail,Aluminum,3200.0
1,Bad Habit 2,Mountain,Trail,Aluminum,2660.0
9,CAAD12 Disc Dura Ace,Road,Elite Road,Aluminum,4260.0
13,CAAD8 Claris,Road,Elite Road,Aluminum,815.0
3,Beast of the East 2,Mountain,Trail,Aluminum,2130.0
7,CAAD12 Black Inc,Road,Elite Road,Aluminum,5860.0
10,CAAD12 Red,Road,Elite Road,Aluminum,3200.0
4,Beast of the East 3,Mountain,Trail,Aluminum,1620.0
11,CAAD12 Ultegra,Road,Elite Road,Aluminum,2240.0
8,CAAD12 Disc 105,Road,Elite Road,Aluminum,1950.0
